slug,alt_village,alt_ski_max,has_glacier,is_ski_resort,season_start,season_end,notes
valle-nevado,3000,3670,False,True,6,10,Andes - 3 vallées

# ─── CORÉE DU SUD ───
yongpyong,772,1458,False,True,12,3,JO 2018

# ─── ESPAGNE ───
baqueira-beret,1500,2610,False,True,12,4,Pyrénées catalanes
sierra-nevada,2100,3300,False,True,11,5,Plus haut domaine Espagne

# ─── ESWATINI ───
mbabane,1243,,False,False,,,Capitale

# ─── FINLANDE ───
levi,203,531,False,True,11,5,Laponie

# ─── FRANCE ───
alpe-dhuez,1860,3330,True,True,11,5,Pic Blanc glacier
chamonix,1035,3842,True,True,12,5,Aiguille du Midi glacier 365j partiel
courchevel,1550,2738,False,True,12,4,3 Vallées
flaine,1600,2561,False,True,12,4,Grand Massif
la-clusaz,1100,2477,False,True,12,4,Aravis
la-plagne,1250,3250,True,True,12,5,Glacier Bellecôte
les-arcs,1600,3226,False,True,12,4,Paradiski
les-deux-alpes,1650,3600,True,True,10,5,Glacier - ouverture dès octobre
les-gets,1172,2002,False,True,12,4,Portes du Soleil
les-menuires,1850,3200,False,True,12,4,3 Vallées
megeve,1113,2353,False,True,12,4,Mont-Blanc Unlimited
meribel,1450,2952,False,True,12,4,3 Vallées
montgenevre,1860,2680,False,True,12,4,Voie Lactée
morzine,1000,2466,False,True,12,4,Portes du Soleil
serre-chevalier,1400,2800,False,True,12,4,Hautes-Alpes
tignes,2100,3456,True,True,10,5,Grande Motte glacier
val-d-isere,1850,3456,True,True,11,5,Espace Killy
val-thorens,2300,3230,True,True,11,5,Plus haute station Europe

# ─── GÉORGIE ───
bakuriani,1700,2700,False,True,12,4,Caucase
gudauri,2196,3307,False,True,12,4,Caucase

# ─── INDE ───
darjeeling,2045,,False,False,,,Ville touristique
gulmarg,2650,4267,False,True,12,4,Cachemire - plus haut Asie
shimla,2276,,False,False,,,Ancienne capitale été britannique

# ─── ITALIE ───
cervinia,2050,3883,True,True,1,12,Matterhorn Glacier Paradise 365j
cortina-dampezzo,1224,3244,False,True,12,4,Dolomiti Superski
courmayeur,1224,2755,False,True,12,4,Face italienne Mont-Blanc
livigno,1816,2800,False,True,11,5,Mottolino+Carosello
madonna-di-campiglio,1550,2505,False,True,12,4,Dolomites Brenta
sestriere,2035,2823,False,True,12,4,Via Lattea
val-gardena,1236,2518,False,True,12,4,Sella Ronda
dolomites,1400,3343,False,True,12,4,Marmolada

# ─── JAPON ───
furano,235,1074,False,True,12,4,Hokkaido
hakone,40,,False,False,,,Ville thermale
hakuba,700,1831,False,True,12,4,JO 1998
nikko,634,,False,False,,,Ville temples
niseko,400,1308,False,True,12,4,Hokkaido powder mondiale
nozawa-onsen,570,1650,False,True,12,4,Nagano
sapporo,35,1270,False,True,12,3,Teine+Bankei JO 1972

# ─── KAZAKHSTAN ───
almaty,848,3180,False,False,,,Ville - Shymbulak accessible

# ─── LESOTHO ───
maseru,1550,,False,False,,,Capitale

# ─── LIECHTENSTEIN ───
vaduz,455,2000,False,False,,,Capitale - Malbun séparé

# ─── MALAISIE ───
kota-kinabalu,0,,False,False,,,Ville côte tropicale

# ─── MAROC ───
oukaimeden,2600,3273,False,True,12,3,Atlas - plus haut d'Afrique

# ─── MEXIQUE ───
san-miguel-de-allende,1900,,False,False,,,Ville coloniale

# ─── NORVÈGE ───
geilo,794,1178,False,True,11,5,Ski classique
hemsedal,640,1497,False,True,11,5,Alpes scandinaves

# ─── NOUVELLE-ZÉLANDE ───
queenstown,310,,False,False,,,Ville lacustre
queenstown-ski,310,2320,False,True,6,10,Remarkables+Coronet Peak

# ─── ROYAUME-UNI ───
isle-of-skye,0,,False,False,,,Île écossaise
lake-district,100,978,False,False,,,Région nature

# ─── RUSSIE ───
krasnaya-polyana,600,2375,False,True,12,4,Sotchi JO 2014

# ─── SAINT-MARIN ───
saint-marin,749,,False,False,,,Micro-état

# ─── SLOVAQUIE ───
jasna,943,2024,False,True,12,4,Basses Tatras

# ─── SUISSE ───
crans-montana,1500,3000,False,True,12,4,Valais
davos,1560,2844,False,True,11,4,Parsenn+Jakobshorn
engelberg,1050,3028,True,True,11,5,Titlis glacier
grindelwald,1034,2971,False,True,12,4,Jungfrau region
gstaad,1050,3000,True,True,11,5,Glacier 3000
interlaken,566,2970,False,False,,,Ville vallée
laax,1100,3018,False,True,11,4,Vorab glacier partiel
saas-fee,1800,3600,True,True,1,12,Mittelallalin glacier 365j
verbier,1500,3330,False,True,12,4,4 Vallées
wengen,1274,2970,False,True,12,4,Männlichen-Lauberhorn
zermatt,1620,3899,True,True,1,12,Klein Matterhorn 365j

# ─── SUÈDE ───
are,380,1420,False,True,11,5,Plus grande station Scandinavie

# ─── TADJIKISTAN ───
douchanbé,706,,False,False,,,Capitale

# ─── ÉRYTHRÉE ───
asmara,2325,,False,False,,,Capitale haute altitude

# ─── ÉTATS-UNIS ───
aspen,2438,3813,False,True,11,4,Aspen Highlands+Snowmass
breckenridge,2926,3963,False,True,11,5,Plus haute base USA
jackson-hole,1924,3185,False,True,11,4,Wyoming - Grand Teton
killington,500,1290,False,True,11,5,Vermont
lake-tahoe,1900,2967,False,True,11,5,Heavenly+Palisades
mammoth-mountain,2424,3370,False,True,11,6,Californie saison longue
park-city,2130,3048,False,True,11,4,Utah
steamboat-springs,2103,3221,False,True,11,4,Colorado
stowe,474,1340,False,True,11,4,Vermont
sun-valley,1753,2789,False,True,11,4,Idaho
telluride,2667,3735,False,True,11,4,Colorado
vail,2476,3527,False,True,11,4,Back Bowls
